Disease,Description
Fungal infection,"A fungal infection occurs when a fungus invades the body, causing itching, redness, and discomfort."
Allergy,"Allergy is a hypersensitivity of the immune system causing itching, rash, and swelling."
GERD,"A digestive disorder affecting the lower esophageal sphincter causing burning sensation."
Chronic cholestasis,"Condition where bile cannot flow causing fatigue and abdominal pain."
Drug Reaction,"Adverse effects when medication triggers a negative reaction in the body."
Peptic ulcer diseae,"Sore in the stomach lining causing abdominal pain and acidity."
AIDS,"A disease caused by HIV leading to immune system failure."
Diabetes,"A metabolic disease causing high blood sugar."
Gastroenteritis,"Infection causing vomiting, diarrhea, and stomach pain."
Bronchial Asthma,"Chronic inflammation of airways causing breathing difficulty."
Hypertension,"High blood pressure leading to headaches and dizziness."
Migraine,"Severe headache often with nausea and sensitivity to light."
Cervical spondylosis,"Wear and tear of spinal disks in neck causing stiffness."
Paralysis (brain hemorrhage),"Loss of muscle function due to bleeding in the brain."
Jaundice,"Yellowing of skin due to liver problems."
Malaria,"Mosquito-borne infection causing fever and chills."
Chicken pox,"Viral infection causing red itchy spots."
Dengue,"Mosquito-borne virus causing high fever and rash."
Typhoid,"Bacterial infection causing prolonged fever."
Hepatitis A,"Liver infection caused by contaminated food or water."
Hepatitis B,"Liver infection caused by HBV virus."
Hepatitis C,"Liver infection leading to chronic liver damage."
Hepatitis E,"Liver disease spread by contaminated water."
Alcoholic hepatitis,"Inflammation of liver due to alcohol."
Tuberculosis,"Bacterial infection affecting lungs causing cough and fever."
Common Cold,"Viral infection causing sneezing and throat pain."
Pneumonia,"Lung infection causing cough, fever, and breathing difficulty."
Dimorphic hemmorhoids(piles),"Swollen veins in rectum causing pain and bleeding."
Heart attack,"Blockage of heart blood supply causing severe chest pain."
Varicose veins,"Enlarged veins usually in legs."
Hypothyroidism,"Underactive thyroid causing fatigue and weight gain."
Hyperthyroidism,"Overactive thyroid causing weight loss and restlessness."
Hypoglycemia,"Low blood sugar causing weakness and sweating."
Osteoarthritis,"Joint wear causing pain and stiffness."
Arthritis,"Joint inflammation causing pain and swelling."
(vertigo) Paroymsal Positional Vertigo,"Sudden dizziness caused by head movements."
Acne,"Skin condition causing pimples and oil buildup."
Urinary tract infection,"Infection in urinary system causing pain and burning."
Psoriasis,"Skin condition causing red scaly patches."
Impetigo,"Bacterial skin infection causing red sores."
Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Precaution_5,Precaution_6,Precaution_7,Precaution_8
Fungal infection,Keep the affected area dry and clean,Avoid tight or synthetic clothing,Use antifungal creams or powders,Do not scratch infected skin,Wash clothes and towels regularly,Avoid sharing personal items,Boost immunity with healthy diet,Consult a dermatologist if spreading
Allergy,Avoid exposure to known allergens,Take prescribed antihistamines,Use air purifiers to reduce dust,Keep bedding and room clean,Use cold compress for swelling,Carry emergency medication if severe,Avoid strong perfumes or smoke,Consult doctor for allergy testing
GERD,Eat small frequent meals,Avoid spicy and oily foods,Sleep with head elevated,Avoid lying down immediately after eating,Reduce caffeine and carbonated drinks,Maintain healthy weight,Quit smoking if applicable,Take antacids or PPIs if prescribed
Chronic cholestasis,Follow a low-fat balanced diet,Avoid alcohol and processed foods,Take liver-supporting medications,Stay hydrated,Monitor liver function regularly,Avoid medications harming liver,Rest and reduce physical stress,Consult hepatologist if symptoms worsen
Drug Reaction,Stop the suspected medication immediately,Consult a doctor or emergency care,Drink plenty of water to flush toxins,Avoid self-medication,Use soothing creams for rashes,Inform doctor about all medicines you take,Monitor for breathing difficulty,Get allergy testing if required
Peptic ulcer diseae,Avoid spicy, acidic, or fried foods,Reduce stress through relaxation techniques,Avoid NSAIDs and painkillers,Take antacids or ulcer medicines,Do not skip meals or overeat,Avoid alcohol and smoking,Drink plenty of water,Consult gastroenterologist if pain increases
AIDS,Take antiretroviral therapy (ART) regularly,Maintain good nutrition and hydration,Avoid sharing needles or sharp objects,Practice safe and protected sex,Monitor viral load and CD4 counts,Get vaccinated for preventable diseases,Avoid stress and get enough rest,Consult specialist regularly
Diabetes,Monitor blood sugar daily,Follow a balanced low-sugar diet,Exercise at least 30 minutes daily,Take insulin or medicines as prescribed,Avoid skipping meals,Check feet daily for wounds,Stay hydrated,Attend regular diabetes checkups
Gastroenteritis,Drink ORS to prevent dehydration,Avoid oily or spicy foods,Rest until vomiting/diarrhea stops,Wash hands frequently,Consume light foods like bananas rice or toast,Avoid milk and dairy temporarily,Do not take antibiotics without doctor advice,Seek help if dehydration increases
Bronchial Asthma,Use inhaler as prescribed,Avoid dust smoke and allergens,Do breathing exercises regularly,Keep inhaler with you always,Use air humidifier,Get flu vaccination annually,Avoid strong perfumes or chemicals,Visit doctor for asthma action plan
Hypertension,Reduce salt intake significantly,Exercise at least 5 days a week,Monitor blood pressure regularly,Avoid stress using meditation or yoga,Limit alcohol and caffeine,Maintain healthy weight,Avoid smoking completely,Take BP medicines daily
Migraine,Rest in a dark quiet room,Stay hydrated throughout the day,Avoid skipping meals,Identify and avoid migraine triggers,Use cold compress on forehead,Limit screen time,Take prescribed migraine medicines,Maintain regular sleep schedule
Cervical spondylosis,Do neck stretches daily,Maintain correct posture,Use ergonomic chair and pillow,Avoid heavy lifting,Avoid long screen time without breaks,Apply warm compress for pain,Take physiotherapy sessions,Strengthen neck muscles through exercise
Paralysis (brain hemorrhage),Seek emergency treatment immediately,Take prescribed stroke medications,Start physiotherapy rehabilitation,Monitor blood pressure regularly,Provide emotional and mental support,Follow a healthy diet,Prevent falls with safe surroundings,Attend regular neurologist checkups
Jaundice,Drink clean boiled water,Avoid fatty and fried foods,Take complete rest,Monitor liver function tests,Avoid alcohol completely,Eat fruits and light meals,Take prescribed antiviral/antibiotic if needed,Seek doctor if symptoms persist
Malaria,Sleep under mosquito nets,Avoid mosquito-prone areas,Take antimalarial drugs prescribed,Keep surroundings clean to prevent mosquitoes,Use mosquito repellents,Stay hydrated,Monitor fever regularly,Go to doctor if fever persists beyond 2 days
Chicken pox,Keep skin clean and dry,Avoid scratching the blisters,Use calamine lotion for itching,Take paracetamol for fever,Isolate from others until scabs dry,Wear loose cotton clothing,Maintain hygiene,Take plenty of rest
Dengue,Drink plenty of fluids (ORS juice water),Avoid NSAIDs like ibuprofen,Avoid mosquito bites completely,Take paracetamol for fever,Rest adequately,Monitor platelet count regularly,Seek hospital care if bleeding starts,Avoid dehydration at all costs
Typhoid,Drink purified or boiled water,Avoid roadside or contaminated food,Take antibiotics as prescribed,Eat soft digestible foods,Maintain strict hygiene,Get adequate rest,Complete full antibiotic course,Check for reinfection if symptoms return
Hepatitis A,Maintain high hygiene standards,Drink safe purified water,Avoid oily or heavy foods,Take complete rest,Get vaccinated if advised,Monitor liver health,Stay hydrated,Avoid alcohol
Hepatitis B,Take antiviral medications regularly,Avoid sharing razors needles,Practice safe sex,Monitor liver function,Maintain healthy lifestyle,Avoid alcohol completely,Get vaccinated family members,Visit specialist regularly
Hepatitis C,Avoid alcohol strictly,Take antiviral treatment as prescribed,Monitor liver function tests,Avoid sharing sharp objects,Maintain balanced diet,Stay hydrated,Get vaccinated against Hep A & B,Follow regular follow-ups
Hepatitis E,Drink only clean safe water,Avoid outside uncooked foods,Take rest and avoid strenuous work,Monitor liver function tests,Avoid alcohol,Eat light meals,Maintain hygiene,Consult doctor in case of jaundice
Alcoholic hepatitis,Stop alcohol intake permanently,Eat nutritious liver-friendly diet,Take prescribed medication,Monitor liver enzymes regularly,Stay hydrated,Rest adequately,Avoid fatty and fried foods,Attend de-addiction counselling
Tuberculosis,Take TB medicine daily without missing doses,Cover mouth when coughing,Ensure proper ventilation,Avoid close contact until recovery,Eat protein-rich food,Monitor weight regularly,Do not stop medication early,Visit TB specialist monthly
Common Cold,Drink hot fluids like soup or tea,Take steam inhalation,Get enough sleep,Avoid chilled drinks,Use saline nasal drops,Keep warm,Avoid crowded places,Take paracetamol if fever develops
Pneumonia,Take full antibiotic course,Rest until fever reduces,Drink warm water and fluids,Use steam inhalation,Monitor breathing difficulty,Avoid smoking,Keep room air clean and humidified,Consult doctor for follow-ups
Hemorrhoids (piles),Eat high-fiber foods,Drink plenty of water,Avoid straining during stool,Use ointments or warm sitz bath,Exercise regularly,Avoid spicy foods,Maintain good toilet habits,Consult doctor if bleeding worsens
Heart attack,Call emergency services immediately,Chew aspirin if advised,Lie down calmly,Loosen tight clothing,Avoid physical exertion,Reassure and keep patient conscious,Provide CPR if unresponsive,Follow emergency medical care strictly
Varicose veins,Avoid prolonged standing,Elevate legs when resting,Do regular leg exercises,Wear compression stockings,Maintain healthy weight,Avoid tight clothes,Take breaks while sitting,Consult vascular specialist
Hypothyroidism,Take thyroid medication daily on empty stomach,Exercise regularly,Follow balanced diet,Monitor thyroid levels every 3 months,Avoid high-fat foods,Get adequate sleep,Avoid stress,Eat iodine-rich foods if advised
Hyperthyroidism,Take antithyroid medicines regularly,Avoid caffeine and energy drinks,Reduce stress using meditation,Eat balanced diet,Avoid smoking,Monitor thyroid tests frequently,Stay hydrated,Limit spicy foods
Hypoglycemia,Eat small frequent meals,Carry glucose tablets or sweets,Avoid skipping meals,Check blood sugar often,Limit alcohol intake,Take medicines on time,Rest if dizziness occurs,Visit doctor if episodes repeat
Osteoarthritis,Do gentle joint exercises,Use hot or cold packs for pain,Maintain healthy weight,Take pain relievers as prescribed,Avoid heavy lifting,Use knee or joint supports,Do physiotherapy regularly,Increase mobility gradually
Arthritis,Take anti-inflammatory medicines,Do stretching exercises daily,Avoid cold exposure,Use warm baths for relief,Maintain healthy weight,Rest painful joints,Follow autoimmune diet if advised,Visit rheumatologist
Vertigo,Avoid sudden head movements,Do vestibular therapy exercises,Stay well hydrated,Avoid bright lights or loud noises,Lie down during dizziness,Get adequate sleep,Avoid driving when dizzy,Consult ENT specialist
Acne,Wash face twice daily with mild cleanser,Avoid touching or popping pimples,Use dermatologist-recommended creams,Drink plenty of water,Avoid oily junk foods,Keep hair and pillow clean,Avoid heavy makeup,Maintain regular skincare routine
Urinary tract infection,Drink plenty of water,Avoid holding urine,Take antibiotics as prescribed,Maintain genital hygiene,Wear cotton underwear,Avoid caffeine and alcohol,Urinate after intercourse,Consult doctor if fever develops
Psoriasis,Keep skin moisturized daily,Avoid scratching patches,Use medicated creams and ointments,Reduce stress levels,Avoid smoking and alcohol,Expose skin to mild sunlight,Stay hydrated,Visit dermatologist for flares
Impetigo,Keep affected area clean and covered,Wash hands frequently,Avoid scratching or touching sores,Use antibiotic ointments,Do not share towels or clothes,Trim nails to prevent damage,Avoid contact with others until healed,Consult doctor if spreading
